Word,Frequency
réforme,580
retraite,524
an,315
gouvernement,202
français,199
député,193
travail,187
ministre,182
social,161
texte,155
macron,153
politique,152
président,145
âge,143
contre,139
lr,137
bien,135
france,135
public,130
emmanuel,129
majorité,128
projet,126
national,125
jour,121
système,120
mobilisation,115
point,113
état,112
dernier,111
exécutif,109
assemblée,105
parlementaire,100
devoir,99
syndicat,98
passer,97
vote,96
départ,95
année,95
euro,90
mettre,89
voir,89
temps,89
voter,88
pays,88
chef,88
grève,88
droite,88
débat,88
grand,86
élisabeth,83
travailler,82
born,81
gauche,81
rue,80
prendre,80
compte,79
cotisation,79
groupe,78
loi,77
janvier,76
